"zipcode","centile","superzip","rank","city","state","adultpop","households","college","income","State","Congressional.District"
"8763",27406,46.04142,0,9116,"Greensboro","NC",32746,13571,"20.26507%",58.89038,37,6
"8764",27407,65.45359,0,5227,"Greensboro","NC",28009,11019,"28.38731%",69.97883,37,6
"8765",27407,65.45359,0,5227,"Greensboro","NC",28009,11019,"28.38731%",69.97883,37,12
"8766",27408,91.90147,0,1222,"Greensboro","NC",12777,4948,"54.37896%",96.17006,37,6
"8767",27409,68.59826,0,4723,"Greensboro","NC",9108,3083,"33.20158%",67.15049,37,12
"8768",27409,68.59826,0,4723,"Greensboro","NC",9108,3083,"33.20158%",67.15049,37,6
"8769",27410,92.97241,0,1077,"Greensboro","NC",31729,12413,"54.23114%",101.6554,37,12
"8770",27410,92.97241,0,1077,"Greensboro","NC",31729,12413,"54.23114%",101.6554,37,6
"8771",27455,86.10466,0,2048,"Greensboro","NC",15493,6166,"45.54315%",86.57358,37,6
"8772",27455,86.10466,0,2048,"Greensboro","NC",15493,6166,"45.54315%",86.57358,37,12
"8773",27501,37.89877,0,11066,"Angier","NC",8238,3700,"15.34353%",60.05284,37,7
"8774",27501,37.89877,0,11066,"Angier","NC",8238,3700,"15.34353%",60.05284,37,2
"8775",27501,37.89877,0,11066,"Angier","NC",8238,3700,"15.34353%",60.05284,37,13
"8776",27502,92.45005,0,1145,"Apex","NC",28448,12400,"51.90172%",103.0402,37,2
"8777",27502,92.45005,0,1145,"Apex","NC",28448,12400,"51.90172%",103.0402,37,13
"8778",27503,80.96128,0,2822,"Bahama","NC",2362,961,"35.43607%",88.87627,37,6
"8779",27504,32.46131,0,12517,"Benson","NC",8245,3472,"13.42632%",58.66678,37,7
"8780",27504,32.46131,0,12517,"Benson","NC",8245,3472,"13.42632%",58.66678,37,2
"8781",27505,22.72414,0,15557,"Broadway","NC",2909,1262,"10.14094%",56.2608,37,4
"8782",27505,22.72414,0,15557,"Broadway","NC",2909,1262,"10.14094%",56.2608,37,2
"8783",27507,10.03833,0,20185,"Bullock","NC",1253,497,"7.26257%",48.46881,37,6
"8784",27507,10.03833,0,20185,"Bullock","NC",1253,497,"7.26257%",48.46881,37,1
"8785",27508,17.66023,0,17270,"Bunn","NC",1160,353,"5.25862%",60.39543,37,13
"8786",27509,25.2289,0,14799,"Butner","NC",5947,1073,"8.86161%",60.52227,37,1
"8787",27510,80.3228,0,2921,"Carrboro","NC",8661,2705,"56.8641%",50.33475,37,4
"8788",27511,93.85514,0,949,"Cary","NC",30200,12119,"54.50662%",108.1634,37,13
"8789",27511,93.85514,0,949,"Cary","NC",30200,12119,"54.50662%",108.1634,37,2
"8790",27511,93.85514,0,949,"Cary","NC",30200,12119,"54.50662%",108.1634,37,4
"8791",27513,96.24072,1,605,"Cary","NC",23989,9740,"63.17062%",114.1326,37,2
"8792",27513,96.24072,1,605,"Cary","NC",23989,9740,"63.17062%",114.1326,37,4
"8793",27513,96.24072,1,605,"Cary","NC",23989,9740,"63.17062%",114.1326,37,13
"8794",27514,96.63155,1,552,"Chapel Hill","NC",26555,9713,"72.36679%",102.8506,37,6
"8795",27514,96.63155,1,552,"Chapel Hill","NC",26555,9713,"72.36679%",102.8506,37,4
"8796",27516,94.03304,0,924,"Chapel Hill","NC",17802,6670,"61.83575%",96.49173,37,4
"8797",27520,61.96712,0,5838,"Clayton","NC",20886,9103,"23.09681%",73.73295,37,13
"8798",27520,61.96712,0,5838,"Clayton","NC",20886,9103,"23.09681%",73.73295,37,7
"8799",27521,24.73375,0,14931,"Coats","NC",3593,1497,"12.46869%",53.9385,37,2
"8800",27522,37.92547,0,11057,"Creedmoor","NC",5793,2434,"14.89729%",60.84524,37,13
"8801",27522,37.92547,0,11057,"Creedmoor","NC",5793,2434,"14.89729%",60.84524,37,1
"8802",27524,33.61338,0,12199,"Four Oaks","NC",6638,2777,"11.40404%",63.07732,37,13
"8803",27524,33.61338,0,12199,"Four Oaks","NC",6638,2777,"11.40404%",63.07732,37,7
"8804",27525,25.34462,0,14769,"Franklinton","NC",7002,2949,"10.71123%",57.39972,37,1
"8805",27525,25.34462,0,14769,"Franklinton","NC",7002,2949,"10.71123%",57.39972,37,13
"8806",27526,67.81226,0,4849,"Fuquay Varina","NC",16318,7040,"27.95073%",74.73588,37,13
"8807",27526,67.81226,0,4849,"Fuquay Varina","NC",16318,7040,"27.95073%",74.73588,37,2
"8808",27526,67.81226,0,4849,"Fuquay Varina","NC",16318,7040,"27.95073%",74.73588,37,4
"8809",27529,67.38119,0,4908,"Garner","NC",20103,8472,"25.21514%",78.83913,37,7
"8810",27529,67.38119,0,4908,"Garner","NC",20103,8472,"25.21514%",78.83913,37,4
"8811",27529,67.38119,0,4908,"Garner","NC",20103,8472,"25.21514%",78.83913,37,13
"8812",27530,29.22942,0,13533,"Goldsboro","NC",25633,10090,"15.6517%",52.17716,37,1
"8813",27530,29.22942,0,13533,"Goldsboro","NC",25633,10090,"15.6517%",52.17716,37,13
"8814",27534,42.7852,0,9854,"Goldsboro","NC",20812,9023,"19.36383%",57.4481,37,1
"8815",27534,42.7852,0,9854,"Goldsboro","NC",20812,9023,"19.36383%",57.4481,37,13
"8816",27536,13.69388,0,18765,"Henderson","NC",25642,10891,"10.86499%",46.57018,37,1
"8817",27540,86.14455,0,2043,"Holly Springs","NC",7829,3473,"42.90459%",91.20118,37,2
"8818",27540,86.14455,0,2043,"Holly Springs","NC",7829,3473,"42.90459%",91.20118,37,13
"8819",27540,86.14455,0,2043,"Holly Springs","NC",7829,3473,"42.90459%",91.20118,37,4
"8820",27541,48.38926,0,8602,"Hurdle Mills","NC",2379,1018,"15.46868%",69.67023,37,6
"8821",27542,19.57117,0,16627,"Kenly","NC",5047,2152,"10.18427%",53.58414,37,7
"8822",27542,19.57117,0,16627,"Kenly","NC",5047,2152,"10.18427%",53.58414,37,13
"8823",27544,22.53497,0,15623,"Kittrell","NC",2450,1076,"9.87755%",56.54193,37,1
"8824",27544,22.53497,0,15623,"Kittrell","NC",2450,1076,"9.87755%",56.54193,37,13
"8825",27545,62.7176,0,5692,"Knightdale","NC",9907,4353,"23.37741%",74.55543,37,13
"8826",27546,30.45388,0,13155,"Lillington","NC",9750,3728,"14.29744%",55.45793,37,4
"8827",27546,30.45388,0,13155,"Lillington","NC",9750,3728,"14.29744%",55.45793,37,2
"8828",27549,26.90646,0,14277,"Louisburg","NC",14154,5801,"13.52974%",53.85874,37,1
"8829",27549,26.90646,0,14277,"Louisburg","NC",14154,5801,"13.52974%",53.85874,37,13
"8830",27551,23.76611,0,15235,"Macon","NC",1459,568,"15.83276%",47.32204,37,1
"8831",27553,7.237063,0,21285,"Manson","NC",1251,565,"9.83213%",40.27931,37,1
"8832",27555,18.13018,0,NA,"Micro","NC",304,128,"10.19737%",52.304,37,7
"8833",27557,12.15712,0,19376,"Middlesex","NC",4304,1925,"6.36617%",52.5616,37,7
"8834",27557,12.15712,0,19376,"Middlesex","NC",4304,1925,"6.36617%",52.5616,37,13
"8835",27559,36.77101,0,11376,"Moncure","NC",1563,608,"18.29814%",53.89143,37,2
"8836",27559,36.77101,0,11376,"Moncure","NC",1563,608,"18.29814%",53.89143,37,4
"8837",27560,93.71304,0,971,"Morrisville","NC",6839,2675,"56.85042%",103.0729,37,1
"8838",27560,93.71304,0,971,"Morrisville","NC",6839,2675,"56.85042%",103.0729,37,2
"8839",27560,93.71304,0,971,"Morrisville","NC",6839,2675,"56.85042%",103.0729,37,13
"8840",27560,93.71304,0,971,"Morrisville","NC",6839,2675,"56.85042%",103.0729,37,4
"8841",27562,64.92242,0,5323,"New Hill","NC",1255,497,"20.07968%",83.4275,37,2
"8842",27562,64.92242,0,5323,"New Hill","NC",1255,497,"20.07968%",83.4275,37,4
"8843",27563,10.86668,0,19824,"Norlina","NC",3458,1284,"9.05147%",46.46687,37,1
"8844",27565,30.3832,0,13177,"Oxford","NC",15639,6410,"13.53028%",56.73022,37,13
"8845",27565,30.3832,0,13177,"Oxford","NC",15639,6410,"13.53028%",56.73022,37,6
"8846",27565,30.3832,0,13177,"Oxford","NC",15639,6410,"13.53028%",56.73022,37,1
"8847",27568,6.133371,0,NA,"Pine Level","NC",41,16,"12.19512%",34.3245,37,7
"8848",27569,17.07134,0,17440,"Princeton","NC",4214,1877,"10.10916%",51.55997,37,13
"8849",27569,17.07134,0,17440,"Princeton","NC",4214,1877,"10.10916%",51.55997,37,7
"8850",27571,55.6031,0,7009,"Rolesville","NC",806,355,"20.96774%",69.05828,37,13
"8851",27572,55.78904,0,6988,"Rougemont","NC",4461,1883,"19.52477%",71.64602,37,1
"8852",27572,55.78904,0,6988,"Rougemont","NC",4461,1883,"19.52477%",71.64602,37,6
"8853",27573,22.44871,0,15646,"Roxboro","NC",16690,6870,"9.96405%",56.32225,37,6
"8854",27576,19.72777,0,16569,"Selma","NC",10475,4577,"10.78759%",52.70674,37,7
"8855",27577,35.65611,0,11679,"Smithfield","NC",13034,4782,"16.29584%",56.33664,37,7
"8856",27581,29.0722,0,13596,"Stem","NC",1716,747,"6.99301%",66.91512,37,13
"8857",27581,29.0722,0,13596,"Stem","NC",1716,747,"6.99301%",66.91512,37,1
"8858",27582,10.90817,0,NA,"Stovall","NC",70,26,"2.85714%",57.2075,37,6
"8859",27583,39.34501,0,10710,"Timberlake","NC",3090,1416,"13.07443%",65.19302,37,6
"8860",27587,81.44537,0,2756,"Wake Forest","NC",18843,8180,"37.7753%",85.91847,37,13
"8861",27589,5.29499,0,22102,"Warrenton","NC",5470,2279,"8.53748%",38.92333,37,1
"8862",27591,46.45716,0,9013,"Wendell","NC",9703,4111,"15.93322%",66.86805,37,13
"8863",27591,46.45716,0,9013,"Wendell","NC",9703,4111,"15.93322%",66.86805,37,7
"8864",27592,42.1539,0,9998,"Willow Spring","NC",5679,2481,"14.03416%",66.12402,37,2
"8865",27592,42.1539,0,9998,"Willow Spring","NC",5679,2481,"14.03416%",66.12402,37,13
"8866",27592,42.1539,0,9998,"Willow Spring","NC",5679,2481,"14.03416%",66.12402,37,7
"8867",27596,54.99026,0,7155,"Youngsville","NC",5712,2449,"19.31022%",71.05367,37,1
"8868",27596,54.99026,0,7155,"Youngsville","NC",5712,2449,"19.31022%",71.05367,37,13
"8869",27597,43.3993,0,9726,"Zebulon","NC",11300,4773,"15.62832%",64.44768,37,13
"8870",27597,43.3993,0,9726,"Zebulon","NC",11300,4773,"15.62832%",64.44768,37,7
"8871",27601,2.848465,0,22989,"Raleigh","NC",5610,1694,"13.29768%",24.92155,37,4
"8872",27603,64.64922,0,5362,"Raleigh","NC",20614,7860,"27.63656%",70.08344,37,7
"8873",27603,64.64922,0,5362,"Raleigh","NC",20614,7860,"27.63656%",70.08344,37,13
"8874",27603,64.64922,0,5362,"Raleigh","NC",20614,7860,"27.63656%",70.08344,37,4
"8875",27604,70.07134,0,4489,"Raleigh","NC",21806,8289,"32.90379%",70.13313,37,13
"8876",27604,70.07134,0,4489,"Raleigh","NC",21806,8289,"32.90379%",70.13313,37,4
"8877",27605,95.18996,1,767,"Raleigh","NC",3243,623,"65.98828%",98.61658,37,13
"8878",27605,95.18996,1,767,"Raleigh","NC",3243,623,"65.98828%",98.61658,37,4
"8879",27606,87.44163,0,1858,"Raleigh","NC",21160,7240,"48.77127%",85.70795,37,13
"8880",27606,87.44163,0,1858,"Raleigh","NC",21160,7240,"48.77127%",85.70795,37,4
"8881",27607,93.66006,0,982,"Raleigh","NC",10951,3726,"59.99452%",96.58456,37,2
"8882",27607,93.66006,0,982,"Raleigh","NC",10951,3726,"59.99452%",96.58456,37,13
"8883",27607,93.66006,0,982,"Raleigh","NC",10951,3726,"59.99452%",96.58456,37,4
"8884",27608,96.85913,1,512,"Raleigh","NC",7709,2548,"63.7307%",120.1684,37,4
"8885",27608,96.85913,1,512,"Raleigh","NC",7709,2548,"63.7307%",120.1684,37,13
"8886",27609,86.13615,0,2044,"Raleigh","NC",22754,8380,"48.31238%",81.88061,37,13
"8887",27609,86.13615,0,2044,"Raleigh","NC",22754,8380,"48.31238%",81.88061,37,4
"8888",27610,37.34921,0,11221,"Raleigh","NC",26546,10651,"19.14413%",52.94603,37,4
"8889",27610,37.34921,0,11221,"Raleigh","NC",26546,10651,"19.14413%",52.94603,37,13
"8890",27612,93.5358,0,997,"Raleigh","NC",18988,6641,"56.39351%",101.743,37,4
"8891",27612,93.5358,0,997,"Raleigh","NC",18988,6641,"56.39351%",101.743,37,13
"8892",27613,95.73508,1,679,"Raleigh","NC",24241,9660,"60.57506%",113.6592,37,4
"8893",27613,95.73508,1,679,"Raleigh","NC",24241,9660,"60.57506%",113.6592,37,13
"8894",27614,97.83234,1,363,"Raleigh","NC",7402,3303,"59.52445%",142.0812,37,13
"8895",27615,94.76397,0,826,"Raleigh","NC",27490,11231,"57.31175%",109.9312,37,4
"8896",27615,94.76397,0,826,"Raleigh","NC",27490,11231,"57.31175%",109.9312,37,13
"8897",27616,72.10703,0,4183,"Raleigh","NC",13267,5597,"33.24791%",73.21383,37,4
"8898",27616,72.10703,0,4183,"Raleigh","NC",13267,5597,"33.24791%",73.21383,37,13
"8899",27701,24.64986,0,14953,"Durham","NC",14114,4978,"24.21%",33.66024,37,1
"8900",27703,49.89416,0,8254,"Durham","NC",19815,8386,"22.31138%",59.51934,37,4
"8901",27703,49.89416,0,8254,"Durham","NC",19815,8386,"22.31138%",59.51934,37,1
"8902",27703,49.89416,0,8254,"Durham","NC",19815,8386,"22.31138%",59.51934,37,13
"8903",27704,47.11752,0,8896,"Durham","NC",17688,7023,"22.26368%",56.52885,37,1
"8904",27704,47.11752,0,8896,"Durham","NC",17688,7023,"22.26368%",56.52885,37,6
"8905",27704,47.11752,0,8896,"Durham","NC",17688,7023,"22.26368%",56.52885,37,13
"8906",27705,82.06667,0,2661,"Durham","NC",25865,8674,"45.37793%",74.5332,37,6
"8907",27705,82.06667,0,2661,"Durham","NC",25865,8674,"45.37793%",74.5332,37,1
"8908",27705,82.06667,0,2661,"Durham","NC",25865,8674,"45.37793%",74.5332,37,4
"8909",27707,80.84966,0,2837,"Durham","NC",27222,10230,"48.26978%",66.50192,37,1
"8910",27707,80.84966,0,2837,"Durham","NC",27222,10230,"48.26978%",66.50192,37,4
"8911",27712,85.85705,0,2084,"Durham","NC",12491,5381,"40.40509%",94.61663,37,1
"8912",27712,85.85705,0,2084,"Durham","NC",12491,5381,"40.40509%",94.61663,37,6
"8913",27713,92.27972,0,1165,"Durham","NC",21502,7966,"60.27811%",87.97533,37,1
"8914",27713,92.27972,0,1165,"Durham","NC",21502,7966,"60.27811%",87.97533,37,4
"8915",27713,92.27972,0,1165,"Durham","NC",21502,7966,"60.27811%",87.97533,37,2
"8916",27801,5.305471,0,22099,"Rocky Mount","NC",13778,5792,"6.4886%",42.47346,37,13
"8917",27801,5.305471,0,22099,"Rocky Mount","NC",13778,5792,"6.4886%",42.47346,37,1
"8918",27803,44.22168,0,9552,"Rocky Mount","NC",14136,6137,"19.05773%",59.25128,37,1
"8919",27803,44.22168,0,9552,"Rocky Mount","NC",14136,6137,"19.05773%",59.25128,37,13
"8920",27804,60.80487,0,6029,"Rocky Mount","NC",16887,6877,"27.34648%",64.9328,37,1
"8921",27804,60.80487,0,6029,"Rocky Mount","NC",16887,6877,"27.34648%",64.9328,37,13
"8922",27805,4.466201,0,22417,"Aulander","NC",2208,955,"5.11775%",42.94943,37,1
"8923",27806,10.24674,0,20090,"Aurora","NC",1823,737,"8.66703%",46.31127,37,3
"8924",27807,18.46845,0,16994,"Bailey","NC",3700,1554,"9.48649%",53.86266,37,13
"8925",27808,41.92525,0,10053,"Bath","NC",1705,750,"19.23754%",56.97344,37,3
"8926",27809,15.38063,0,18138,"Battleboro","NC",3189,1349,"9.81499%",50.05101,37,13
"8927",27809,15.38063,0,18138,"Battleboro","NC",3189,1349,"9.81499%",50.05101,37,1
"8928",27810,13.26736,0,18954,"Belhaven","NC",3170,1301,"12.58675%",43.07888,37,3
"8929",27812,14.37329,0,18510,"Bethel","NC",1968,793,"10.31504%",48.21775,37,3
"8930",27812,14.37329,0,18510,"Bethel","NC",1968,793,"10.31504%",48.21775,37,1
"8931",27813,7.377141,0,NA,"Black Creek","NC",229,108,"8.29694%",43.1508,37,13
"8932",27814,26.75325,0,14321,"Blounts Creek","NC",970,459,"12.8866%",54.83551,37,3
"8933",27816,9.84947,0,20248,"Castalia","NC",1369,551,"7.15851%",48.4322,37,1
"8934",27816,9.84947,0,20248,"Castalia","NC",1369,551,"7.15851%",48.4322,37,13
"8935",27817,20.74498,0,16200,"Chocowinity","NC",4339,1900,"12.62964%",50.40406,37,3
"8936",27818,8.930484,0,20625,"Como","NC",980,405,"6.63265%",48.12753,37,1
"8937",27819,11.23459,0,NA,"Conetoe","NC",322,131,"7.14286%",50.17915,37,1
"8938",27820,17.63104,0,17282,"Conway","NC",1794,751,"9.81048%",52.51191,37,1
"8939",27821,0.0181643,0,NA,"Edward","NC",248,115,"3.22581%",18.44631,37,3
"8940",27822,17.89064,0,17203,"Elm City","NC",5211,2281,"9.28804%",53.63906,37,1
"8941",27822,17.89064,0,17203,"Elm City","NC",5211,2281,"9.28804%",53.63906,37,13
"8942",27823,3.211488,0,22875,"Enfield","NC",5453,2282,"7.042%",36.56704,37,1
"8943",27824,13.60821,0,18804,"Engelhard","NC",1130,416,"8.67257%",50.2393,37,3
"8944",27826,10.1277,0,20137,"Fairfield","NC",930,191,"10.10753%",43.72353,37,3
"8945",27827,5.796829,0,NA,"Falkland","NC",41,15,"0%",54.75575,37,1
"8946",27828,23.61797,0,15284,"Farmville","NC",5970,2475,"13.09883%",51.91826,37,1
"8947",27828,23.61797,0,15284,"Farmville","NC",5970,2475,"13.09883%",51.91826,37,3
"8948",27829,2.44224,0,23129,"Fountain","NC",1199,502,"4.17014%",39.59151,37,1
"8949",27829,2.44224,0,23129,"Fountain","NC",1199,502,"4.17014%",39.59151,37,13
"8950",27829,2.44224,0,23129,"Fountain","NC",1199,502,"4.17014%",39.59151,37,3
"8951",27830,23.07821,0,15445,"Fremont","NC",3490,1403,"11.37536%",54.44977,37,13
"8952",27831,3.856427,0,22634,"Garysburg","NC",2052,866,"7.65107%",37.29144,37,1
"8953",27832,5.312907,0,22096,"Gaston","NC",2007,838,"6.0289%",43.2711,37,1
"8954",27834,33.11588,0,12340,"Greenville","NC",25668,10458,"21.46252%",45.32011,37,3
"8955",27834,33.11588,0,12340,"Greenville","NC",25668,10458,"21.46252%",45.32011,37,1
"8956",27837,38.4225,0,10936,"Grimesland","NC",2914,1233,"17.19286%",57.29642,37,3
"8957",27837,38.4225,0,10936,"Grimesland","NC",2914,1233,"17.19286%",57.29642,37,1
"8958",27839,4.19599,0,22512,"Halifax","NC",3064,893,"7.5718%",38.23161,37,1
"8959",27840,6.693085,0,NA,"Hamilton","NC",288,121,"9.02778%",40.8625,37,1
"8960",27841,49.45416,0,NA,"Hassell","NC",21,7,"23.80952%",56.39025,37,1
"8961",27842,52.72098,0,7619,"Henrico","NC",1123,506,"21.99466%",63.44867,37,1
"8962",27843,5.015957,0,22239,"Hobgood","NC",961,430,"7.18002%",40.39569,37,1
"8963",27844,0.3903701,0,23768,"Hollister","NC",1550,705,"3.80645%",29.47723,37,1
"8964",27845,13.78955,0,18732,"Jackson","NC",1888,512,"10.16949%",47.86208,37,1
"8965",27846,14.45186,0,18479,"Jamesville","NC",1924,870,"8.47193%",51.46583,37,1
"8966",27846,14.45186,0,18479,"Jamesville","NC",1924,870,"8.47193%",51.46583,37,3
"8967",27847,2.079275,0,23236,"Kelford","NC",607,242,"4.44811%",37.88248,37,1
"8968",27849,3.603222,0,22744,"Lewiston Woodville","NC",1041,422,"8.16523%",35.60856,37,1
"8969",27850,38.58868,0,10887,"Littleton","NC",5376,2309,"18.43378%",55.33109,37,1
"8970",27851,16.85726,0,17525,"Lucama","NC",3160,1369,"8.22785%",54.55438,37,13
"8971",27852,14.96953,0,18292,"Macclesfield","NC",1876,756,"9.16844%",50.72181,37,1
"8972",27852,14.96953,0,18292,"Macclesfield","NC",1876,756,"9.16844%",50.72181,37,13
"8973",27853,3.259404,0,NA,"Margarettsville","NC",493,217,"6.89655%",36.9397,37,1
"8974",27855,17.47392,0,17328,"Murfreesboro","NC",3797,1584,"14.0374%",45.0952,37,1
"8975",27856,27.57343,0,14044,"Nashville","NC",10379,4176,"11.39802%",58.1372,37,13
"8976",27856,27.57343,0,14044,"Nashville","NC",10379,4176,"11.39802%",58.1372,37,1
"8977",27857,8.732663,0,20703,"Oak City","NC",1475,600,"9.55932%",42.79383,37,1
"8978",27858,81.57326,0,2737,"Greenville","NC",23529,9518,"42.8195%",77.63875,37,3
"8979",27858,81.57326,0,2737,"Greenville","NC",23529,9518,"42.8195%",77.63875,37,1
"8980",27860,17.86273,0,17213,"Pantego","NC",1387,608,"12.47296%",48.11968,37,3
"8981",27860,17.86273,0,17213,"Pantego","NC",1387,608,"12.47296%",48.11968,37,1
"8982",27862,4.697734,0,22338,"Pendleton","NC",540,239,"6.85185%",40.45453,37,1
"8983",27863,25.78741,0,14601,"Pikeville","NC",5159,2285,"12.19229%",55.32848,37,1
"8984",27863,25.78741,0,14601,"Pikeville","NC",5159,2285,"12.19229%",55.32848,37,13
"8985",27864,8.648106,0,20739,"Pinetops","NC",2724,1195,"6.38767%",48.15629,37,13
"8986",27865,28.37657,0,13785,"Pinetown","NC",1356,550,"12.24189%",57.34349,37,3
"8987",27866,11.3525,0,19656,"Pleasant Hill","NC",739,276,"10.82544%",43.98243,37,1
"8988",27869,16.66302,0,17603,"Rich Square","NC",1921,757,"13.69079%",44.91606,37,1
"8989",27870,19.16117,0,16749,"Roanoke Rapids","NC",18086,7580,"12.8276%",48.72902,37,1
"8990",27871,8.279325,0,20910,"Robersonville","NC",3339,1384,"10.75172%",40.04525,37,1
"8991",27871,8.279325,0,20910,"Robersonville","NC",3339,1384,"10.75172%",40.04525,37,3
"8992",27872,0.8226158,0,NA,"Roxobel","NC",238,99,"4.20168%",31.87275,37,1
"8993",27873,12.07845,0,NA,"Saratoga","NC",257,97,"8.17121%",49.3619,37,1
"8994",27874,4.53582,0,22404,"Scotland Neck","NC",3737,1439,"9.52636%",35.48173,37,1
"8995",27875,0.8535016,0,NA,"Scranton","NC",394,194,"3.29949%",33.50725,37,3
"8996",27876,24.0113,0,15151,"Seaboard","NC",1013,391,"14.2152%",50.31907,37,1
"8997",27878,8.368722,0,20875,"Sharpsburg","NC",970,466,"7.1134%",46.49303,37,13
"8998",27880,29.77104,0,13376,"Sims","NC",1554,664,"11.32561%",60.00969,37,13
"8999",27882,20.57468,0,16257,"Spring Hope","NC",4020,1706,"10.29851%",54.30332,37,13
"9000",27882,20.57468,0,16257,"Spring Hope","NC",4020,1706,"10.29851%",54.30332,37,1
"9001",27883,12.64485,0,19203,"Stantonsburg","NC",2163,963,"9.8012%",47.17559,37,1
"9002",27883,12.64485,0,19203,"Stantonsburg","NC",2163,963,"9.8012%",47.17559,37,13
"9003",27884,15.24014,0,18184,"Stokes","NC",698,296,"7.02006%",54.7126,37,3
"9004",27885,15.22626,0,18187,"Swanquarter","NC",866,293,"7.62125%",53.66652,37,3
"9005",27886,22.52705,0,15627,"Tarboro","NC",13346,5349,"11.95115%",52.94865,37,13
"9006",27886,22.52705,0,15627,"Tarboro","NC",13346,5349,"11.95115%",52.94865,37,1
"9007",27888,15.93102,0,17888,"Walstonburg","NC",1639,724,"10.4942%",49.5515,37,1
"9008",27888,15.93102,0,17888,"Walstonburg","NC",1639,724,"10.4942%",49.5515,37,3
"9009",27889,30.58247,0,13115,"Washington","NC",17087,7158,"18.08392%",49.04677,37,1
"9010",27889,30.58247,0,13115,"Washington","NC",17087,7158,"18.08392%",49.04677,37,3
"9011",27890,10.99927,0,19779,"Weldon","NC",1778,743,"12.54218%",40.61798,37,1
"9012",27891,7.098589,0,21330,"Whitakers","NC",3332,1366,"5.43217%",47.67248,37,1
"9013",27892,18.8524,0,16857,"Williamston","NC",10194,4359,"12.79184%",48.54726,37,1
"9014",27892,18.8524,0,16857,"Williamston","NC",10194,4359,"12.79184%",48.54726,37,3
"9015",27893,11.62224,0,19559,"Wilson","NC",25722,10329,"11.02169%",43.97328,37,1
"9016",27893,11.62224,0,19559,"Wilson","NC",25722,10329,"11.02169%",43.97328,37,13
"9017",27896,76.34641,0,3540,"Wilson","NC",9620,4101,"33.7422%",80.66846,37,13
"9018",27897,8.87183,0,20648,"Woodland","NC",1396,563,"9.31232%",43.42147,37,1
"9019",27909,25.29491,0,14779,"Elizabeth City","NC",22223,9114,"16.38393%",47.59925,37,3
"9020",27909,25.29491,0,14779,"Elizabeth City","NC",22223,9114,"16.38393%",47.59925,37,1
"9021",27910,11.24246,0,19697,"Ahoskie","NC",7200,3004,"11.84722%",42.10603,37,1
"9022",27915,58.6382,0,6450,"Avon","NC",580,180,"26.55172%",63.20023,37,3
"9023",27916,47.25269,0,NA,"Aydlett","NC",397,154,"15.36524%",68.649,37,3
"9024",27917,8.081426,0,NA,"Barco","NC",489,219,"10.83845%",39.61505,37,3
"9025",27919,8.087137,0,20980,"Belvidere","NC",639,284,"8.13771%",44.28057,37,3
"9026",27920,48.92252,0,8489,"Buxton","NC",1196,464,"24.3311%",54.93489,37,3
"9027",27921,46.78964,0,8954,"Camden","NC",2193,943,"20.70223%",58.94399,37,3
"9028",27922,5.835507,0,21865,"Cofield","NC",701,289,"8.5592%",40.04525,37,1
"9029",27923,38.00081,0,NA,"Coinjock","NC",400,168,"19.5%",52.9578,37,3
"9030",27924,3.098989,0,22914,"Colerain","NC",2446,1037,"7.39984%",35.64387,37,1
"9031",27925,9.662722,0,20323,"Columbia","NC",2605,989,"10.97889%",41.6013,37,3
"9032",27926,16.00635,0,17854,"Corapeake","NC",1056,484,"8.52273%",53.0781,37,3
"9033",27926,16.00635,0,17854,"Corapeake","NC",1056,484,"8.52273%",53.0781,37,1
"9034",27927,91.98259,0,1208,"Corolla","NC",553,224,"55.6962%",94.39303,37,3
"9035",27928,19.57642,0,16623,"Creswell","NC",1393,605,"10.9117%",52.33408,37,3
"9036",27929,52.40544,0,NA,"Currituck","NC",496,227,"17.94355%",70.01152,37,3
"9037",27932,30.22391,0,13242,"Edenton","NC",7948,3286,"17.75289%",49.27168,37,3
"9038",27932,30.22391,0,13242,"Edenton","NC",7948,3286,"17.75289%",49.27168,37,1
"9039",27935,27.61244,0,14029,"Eure","NC",1027,421,"7.88705%",64.21231,37,3
"9040",27936,12.64419,0,NA,"Frisco","NC",258,100,"9.30233%",48.02946,37,3
"9041",27937,18.38868,0,17018,"Gates","NC",2037,828,"10.50565%",52.0621,37,1
"9042",27937,18.38868,0,17018,"Gates","NC",2037,828,"10.50565%",52.0621,37,3
"9043",27938,34.48043,0,11946,"Gatesville","NC",1087,422,"11.40754%",63.87103,37,3
"9044",27938,34.48043,0,11946,"Gatesville","NC",1087,422,"11.40754%",63.87103,37,1
"9045",27939,15.84218,0,17913,"Grandy","NC",1186,463,"7.67285%",54.32293,37,3
"9046",27941,0.991924,0,NA,"Harbinger","NC",80,28,"0%",39.8818,37,3
"9047",27942,0.868397,0,23636,"Harrellsville","NC",720,330,"5.41667%",29.96627,37,1
"9048",27943,59.28805,0,NA,"Hatteras","NC",476,178,"25.21009%",66.40124,37,3
"9049",27944,15.87102,0,17902,"Hertford","NC",7181,3050,"12.40774%",46.20928,37,1
"9050",27944,15.87102,0,17902,"Hertford","NC",7181,3050,"12.40774%",46.20928,37,3
"9051",27946,17.05137,0,17454,"Hobbsville","NC",932,366,"7.18884%",56.53408,37,3
"9052",27947,21.1848,0,NA,"Jarvisburg","NC",387,173,"14.72868%",47.19651,37,3
