"zipcode","centile","superzip","rank","city","state","adultpop","households","college","income","State","Congressional.District"
"68",1201,49.19785,0,8420,"Pittsfield","MA",33416,12341,"21.02586%",60.92893,25,1
"69",1220,34.32508,0,11991,"Adams","MA",6720,2658,"16.60714%",54.77275,25,1
"70",1222,58.0349,0,6571,"Ashley Falls","MA",540,246,"22.59259%",69.3028,25,1
"71",1223,62.50712,0,5737,"Becket","MA",1245,513,"24.8996%",71.54141,25,1
"72",1225,49.75294,0,8290,"Cheshire","MA",1945,815,"18.09769%",66.57253,25,1
"73",1226,69.94227,0,4512,"Dalton","MA",5320,2114,"28.04511%",78.22717,25,1
"74",1230,74.22755,0,3853,"Great Barrington","MA",6388,2294,"36.39637%",71.72317,25,1
"75",1235,54.44624,0,7273,"Hinsdale","MA",1698,698,"21.73145%",66.13448,25,1
"76",1236,68.14656,0,4795,"Housatonic","MA",1458,578,"33.40192%",66.05603,25,1
"77",1237,63.01617,0,5644,"Lanesboro","MA",1702,702,"27.55582%",67.69837,25,1
"78",1238,59.63089,0,6261,"Lee","MA",4459,1741,"25.6784%",66.14887,25,1
"79",1240,86.17705,0,2038,"Lenox","MA",3961,1326,"49.55819%",79.87736,25,1
"80",1242,68.95296,0,NA,"Lenox Dale","MA",71,41,"11.26761%",105.6319,25,1
"81",1245,84.14234,0,2341,"Monterey","MA",725,258,"46.48276%",78.456,25,1
"82",1247,26.77459,0,14313,"North Adams","MA",11359,4349,"14.16498%",52.65313,25,1
"83",1253,69.89914,0,NA,"Otis","MA",467,182,"26.1242%",81.42818,25,1
"84",1254,84.27918,0,2322,"Richmond","MA",739,287,"37.34777%",94.59702,25,1
"85",1255,59.67306,0,6252,"Sandisfield","MA",608,213,"21.875%",72.73525,25,1
"86",1256,43.64928,0,9674,"Savoy","MA",509,203,"15.1277%",65.52907,25,1
"87",1257,65.79311,0,5169,"Sheffield","MA",1690,607,"30%",67.72322,25,1
"88",1258,79.23106,0,NA,"South Egremont","MA",114,44,"42.10526%",72.8987,25,1
"89",1259,74.65579,0,NA,"Southfield","MA",383,170,"31.07049%",81.725,25,1
"90",1262,82.982,0,2514,"Stockbridge","MA",642,180,"45.17134%",77.68713,25,1
"91",1264,89.19674,0,NA,"Tyringham","MA",181,66,"55.80111%",80.0905,25,1
"92",1266,86.41401,0,2003,"West Stockbridge","MA",1231,470,"48.49716%",82.54225,25,1
"93",1267,89.16778,0,1623,"Williamstown","MA",5101,1849,"52.26426%",86.13292,25,1
"94",1301,53.75195,0,7412,"Greenfield","MA",12897,4496,"24.2537%",60.94854,25,2
"95",1301,53.75195,0,7412,"Greenfield","MA",12897,4496,"24.2537%",60.94854,25,1
"96",1330,80.63384,0,2872,"Ashfield","MA",1119,435,"44.41466%",72.58618,25,1
"97",1331,28.87005,0,13662,"Athol","MA",8557,3449,"13.63796%",55.28794,25,2
"98",1337,55.57615,0,7018,"Bernardston","MA",1851,736,"20.79957%",69.27795,25,1
"99",1338,49.95694,0,NA,"Buckland","MA",18,4,"38.88889%",31.0555,25,1
"100",1339,59.20569,0,6332,"Charlemont","MA",1386,554,"26.40693%",64.23193,25,1
"101",1340,55.4821,0,7051,"Colrain","MA",1253,499,"24.58101%",62.5922,25,1
